url, extraction, lexical, syntactic
https://www.imdb.com/name/nm1398781/bio?ref_=nm_ov_bio_sm,"BAFTA Television Craft Awards",1,1
imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Independent Spirit John Cassavetes Award"1,1
https://www.imdb.com/name/nm0825764/bio?ref_=nm_ov_bio_sm,"DGA Award",0,1
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Canadian Screen award",0,1
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Kidscreen Awards",1,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Cynopsis Awards",1,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Juno Award",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Grand Prize of the Youth Media Alliance",0,0
https://www.imdb.com/name/nm0033731/bio?ref_=nm_ov_bio_sm,"Best Special Visual Effects Award",1,1
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Prime Time Emmy Award",0,0
https://www.imdb.com/name/nm0006640/bio?ref_=nm_ov_bio_sm,"Sony Awards",1,1
https://www.imdb.com/name/nm0006640/bio?ref_=nm_ov_bio_sm,"Meyer-Whitworth Award",0,0
https://www.imdb.com/name/nm0566850/bio?ref_=nm_ov_bio_sm,"Betty Smith Playwright Award",0,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Drama Critics Circle Award",1,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Academy Award",1,1


