url, extraction, lexical, syntactic
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Rob Cohen",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Stephen Sommers",0,0
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Ron Howard",0,0
https://www.imdb.com/name/nm3900523/bio?ref_=nm_ov_bio_sm,"Amanda Tapping",0,0
https://www.imdb.com/name/nm3900523/bio?ref_=nm_ov_bio_sm,"Kristin Lehman",0,0
https://www.imdb.com/name/nm3900523/bio?ref_=nm_ov_bio_sm,"Mackenzie Gray",0,0
https://www.imdb.com/name/nm3900523/bio?ref_=nm_ov_bio_sm,"Adrian Holmes",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Michael Cuesta",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Alfred Hitchcock",1,1
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Nickelodeon",1,0
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Joe Castro, Escobar",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Eddie Cantor",0,0
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Lucille Fletcher",1,0

