url, extraction, lexical, syntactic
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Baywatch",1,1
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"North Shore",1,1
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Stargate: Atlantis",1,1
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Game of Thrones",1,1
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Conan the Barbarian",1,1
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Road to Paloma",1,1
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Brown Bag Diaries: Ridin' the Blinds in B Minor",0,0
https://www.imdb.com/name/nm0709649/bio?ref_=nm_ov_bio_sm,"Ma and Pa Kettle Back on the Farm",1,1
https://www.imdb.com/name/nm0709649/bio?ref_=nm_ov_bio_sm,"Ma and Pa Kettle Go to Town",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"The World Is Not Enough",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"The Mummy: Tomb of the Dragon Emperor",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Rush",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"The Wrong Mans",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Casualty",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"The Moonstone",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Emerald City",1,1
https://www.imdb.com/name/nm1398781/bio?ref_=nm_ov_bio_sm,"A Frozen Chicken Saves the Soaps Day",0,0
https://www.imdb.com/name/nm1398781/bio?ref_=nm_ov_bio_sm,"Potemkin: The Runner's Cut",0,0
https://www.imdb.com/name/nm1398781/bio?ref_=nm_ov_bio_sm,"Broken Cove",0,0
https://www.imdb.com/name/nm1398781/bio?ref_=nm_ov_bio_sm,"Final Draft Big Break quarter finalist and Page Finalist",1,1
https://www.imdb.com/name/nm2720561/bio?ref_=nm_ov_bio_sm,"Los Ninos Pueden",0,0
https://www.imdb.com/name/nm2720561/bio?ref_=nm_ov_bio_sm,"Control",1,1
https://www.imdb.com/name/nm5453354/bio?ref_=nm_ov_bio_sm,"Carlito's Way",1,1
https://www.imdb.com/name/nm5453354/bio?ref_=nm_ov_bio_sm,"Agenda",1,1
https://www.imdb.com/name/nm5453354/bio?ref_=nm_ov_bio_sm,"Vibrations",1,1
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Psycho",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"How the Grinch Stole Christmas",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Planet of the Apes",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Terminator 3",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Live from the Hook",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"The Last Samurai",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Time Machine Guitar,",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"PBS series Shining Time Station starring George Carlin",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Groundling Marsh",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Real Kids Real Adventures",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Zoboomafoo",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"George Shrinks",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Moville Mysteries",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Zoboomafoo",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Yup Yups, Can you Imagine That?",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"The Next Step, as well as Fangbone!",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Adventures of Dudley the Dragon",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"The Bagel and Becky Show and Fangbone!",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"e Bagel & Becky Show, Tee & Mo, Stella and Sam",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Adventures of Dudley the Dragon",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Adventures of Dudley the Dragon",0,0
https://www.imdb.com/name/nm0577390/bio?ref_=nm_ov_bio_sm,"Adventures of Dudley the Dragon",0,0
https://www.imdb.com/name/nm0033731/bio?ref_=nm_ov_bio_sm,"Willis O'Brien: Special Effects Genius",0,0
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Budweiser's Dance Time in Texas",0,0
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Terror Toons",0,0
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Near Death",0,0
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Jackhammer Massacre",0,0
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Terror Toons 2: The Sick and Silly Show!",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Palmy Days",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Merry Widow",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Espionage",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"The Great Dictator",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Here Comes The Groom",0,0
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Sherman Said It",0,0
https://www.imdb.com/name/nm0006640/bio?ref_=nm_ov_bio_sm,"Blue on Blue",0,0
https://www.imdb.com/name/nm0566850/bio?ref_=nm_ov_bio_sm,"Once Upon A Mattress",0,0
https://www.imdb.com/name/nm0566850/bio?ref_=nm_ov_bio_sm,"Tomorrow Only Knows",1,1
https://www.imdb.com/name/nm0566850/bio?ref_=nm_ov_bio_sm,"Wishes",1,1
https://www.imdb.com/name/nm0566850/bio?ref_=nm_ov_bio_sm,"Hitting Another Man's Girl",0,0
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Those Everlasting Blues",0,0
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Beguine",0,0
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Frankie and Johnny",0,0
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"The Golden Apple",0,0
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"The Proud Rebel",1,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"The War Lord",1,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Rachel, Rachel",1,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"The Big Country",1,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Gunsmoke",1,1
https://www.imdb.com/name/nm0606108/bio?ref_=nm_ov_bio_sm,"Wagon Train",1,1
https://www.imdb.com/name/nm3301881/bio?ref_=nm_ov_bio_sm,"Pretty Hattie's Baby",1,1
https://www.imdb.com/name/nm3301881/bio?ref_=nm_ov_bio_sm,"I Am the Night",0,0






